ID,name,batch,link,description,type,company
61,"Zach Hamed (20, Holbrook, NY)",3,https://www.businesswire.com/news/home/20130509005377/en/Peter-Thiel-Announces-2013-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Zach Hamed (20, Holbrook, NY) originally from New York City, was a junior at Harvard studying computer science before joining the Thiel Fellowship. The son of a teacher and a computer programmer, Zach is a first-generation American who hopes to apply his interest in user interface and experience design to K-12 education. As a Thiel Fellow, Zach wants to develop a suite of beautifully-designed tools for K-12 teachers, saving them time, providing them supplemental income, and helping them do what they do best—teach.", ,
62,"Shantanu Bala (19, Phoenix, AZ)",4,https://www.businesswire.com/news/home/20140605005295/en/Peter-Thiel-Announces-2014-Class-of-Thiel-Fellows,"Shantanu Bala (19, Phoenix, AZ) is developing a system for using a real-time video and audio feed to convey visual facial expressions and auditory cues using a series of vibrations across a user's skin. His research aims to expand the potential scope of information that can be extracted and conveyed using digital sensors and haptic actuators.", ,
63,"Vitalik Buterin (20, Toronto, Canada)",4,https://www.businesswire.com/news/home/20140605005295/en/Peter-Thiel-Announces-2014-Class-of-Thiel-Fellows,"Vitalik Buterin (20, Toronto, Canada) has been captivated by Bitcoin and the crypto-currency space for some time. He is now working full-time on developing Ethereum, a peer-to-peer network that any application can use and access and a mobile and desktop client to allow people to build advanced decentralized applications and use them in a platform that is as convenient as a web browser.", ,Ethereum
64,"Benjamin Englard (18, Miami, FL)",4,https://www.businesswire.com/news/home/20140605005295/en/Peter-Thiel-Announces-2014-Class-of-Thiel-Fellows,"Benjamin Englard (18, Miami, FL) is a computer scientist interested in natural language processing, computer vision, distributed computing, and the synthesis of computer science with other fields. He is working to combine ideas from computer science and psychology with the goal of personalizing technology.", ,
65,"Adithya Ganesh (17, Plano, TX)",4,https://www.businesswire.com/news/home/20140605005295/en/Peter-Thiel-Announces-2014-Class-of-Thiel-Fellows,"Adithya Ganesh (17, Plano, TX) is a computer science student on leave from Stanford. He co-invented IntentSense, an intelligent bionic glove for partial hand amputees. He is interested in using machine learning and predictive analytics to personalize bionics and health care in general.", ,IntentSense
66,"Grace Gee (19, Port Lavaca, TX)",4,https://www.businesswire.com/news/home/20140605005295/en/Peter-Thiel-Announces-2014-Class-of-Thiel-Fellows,"Grace Gee (19, Port Lavaca, TX) co-founded her start-up CortexML with a fellow Harvard classmate to make data analysis more intuitive and simple. She was pursuing a joint bachelor's and master's in computer science at Harvard before becoming a Thiel Fellow.", ,CortexML
67,"Ishaan Gulrajani (19, Philadelphia, PA)",4,https://www.businesswire.com/news/home/20140605005295/en/Peter-Thiel-Announces-2014-Class-of-Thiel-Fellows,"Ishaan Gulrajani (19, Philadelphia, PA) wants to change the way people make software. After leaving MIT, he founded a startup that won an Apple Design Award and received support from Y Combinator.", ,
68,"Lucy Guo (19, Pleasanton, CA)",4,https://www.businesswire.com/news/home/20140605005295/en/Peter-Thiel-Announces-2014-Class-of-Thiel-Fellows,"Lucy Guo (19, Pleasanton, CA) is a designer and software engineer who has been creating profitable websites since 6th grade. After building educational software for developing countries, she decided that she wanted to make studying fun for everybody. During her fellowship, Lucy will be working on gamifying education by creating a platform that will allow students to study their schoolwork through multiplayer games.", ,
69,"Thomas Hunt (17, Saratoga, CA)",4,https://www.businesswire.com/news/home/20140605005295/en/Peter-Thiel-Announces-2014-Class-of-Thiel-Fellows,"Thomas Hunt (17, Saratoga, CA) wants to cure cancer. He spent three years at the SENS Research Foundation studying Alternative Lengthening of Telomeres (ALT), a mechanism that is suggested to be indirectly responsible for all cancers. He is using automated high-throughput drug screening to find drugs that can reduce ALT activity.", ,
70,"Rebecca Jolitz (19, Los Gatos, CA)",4,https://www.businesswire.com/news/home/20140605005295/en/Peter-Thiel-Announces-2014-Class-of-Thiel-Fellows,"Rebecca Jolitz (19, Los Gatos, CA) hopes to revolutionize the satellite development cycle. She is a researcher-entrepreneur with a family background in aerospace and holds degrees in physics and mathematics from UC Berkeley.", ,
71,"Alex Koren (19, Bergen County, NJ)",4,https://www.businesswire.com/news/home/20140605005295/en/Peter-Thiel-Announces-2014-Class-of-Thiel-Fellows,"Alex Koren (19, Bergen County, NJ) is working on the new wave of crowd-sourced supercomputing and mobile monetization. He's the co-founder of the start-up Hyv, which has built a platform for globally distributed computing. He envisions a world where users can not only use their devices for entertainment and communication, but also for social progress.", ,Hyv
72,"Conrad Kramer (17, Philadelphia, PA)",4,https://www.businesswire.com/news/home/20140605005295/en/Peter-Thiel-Announces-2014-Class-of-Thiel-Fellows,"Conrad Kramer (17, Philadelphia, PA) taught himself to program at age 13, and hasn’t stopped since. He is currently working with 2014 Thiel Fellow Ari Weinstein to develop new types of productivity software for mobile devices, including DeskConnect, which allows users to seamlessly push websites, documents, pictures, and everything else to any device at any time.", ,DeskConnect
73,"Eliana Lorch (17, San Francisco, CA)",4,https://www.businesswire.com/news/home/20140605005295/en/Peter-Thiel-Announces-2014-Class-of-Thiel-Fellows,"Eliana Lorch (17, San Francisco, CA) struggles to carry out a conversation for more than five minutes before sidetracking into neural nets or math, either to explain to you what she’s been learning or to press you for your insights. She is passionate about exploring the outstanding results that deep learning has recently led to in computer vision and voice recognition.", ,
74,"Fouad Matin (18, McLean, VA)",4,https://www.businesswire.com/news/home/20140605005295/en/Peter-Thiel-Announces-2014-Class-of-Thiel-Fellows,"Fouad Matin (18, McLean, VA) wants to drastically accelerate how we learn. He is building software to make learning technical skills more accessible and efficient.", ,
75,"M. C. McGrath (20, Boston, MA)",4,https://www.businesswire.com/news/home/20140605005295/en/Peter-Thiel-Announces-2014-Class-of-Thiel-Fellows,"M. C. McGrath (20, Boston, MA) is a former Boston University student working on Transparency Toolkit, which is open-source software that helps investigative journalists rapidly analyze documents without coding to uncover corruption, civil liberties violations, and human rights abuses.", ,Transparency Toolkit
76,"Adam Munich (20, Buffalo, NY)",4,https://www.businesswire.com/news/home/20140605005295/en/Peter-Thiel-Announces-2014-Class-of-Thiel-Fellows,"Adam Munich (20, Buffalo, NY) is an inventor combining his interests in engineering and natural sciences to develop new technologies to mobilize radiography.", ,
77,"Catherine Ray (17, Alexandria, VA)",4,https://www.businesswire.com/news/home/20140605005295/en/Peter-Thiel-Announces-2014-Class-of-Thiel-Fellows,"Catherine Ray (17, Alexandria, VA) has a passion for exploring the beauty of mathematics and applying its power to unsolved problems in various fields. She is currently focused on improving closed-loop detector adaptation in neuroprosthetics, computationally and mathematically modeling quasicrystaline patterns, and automating the behavioral classifications of lab-animal vocalizations.", ,
78,"Jarred Sumner (18, Lafayette, CA)",4,https://www.businesswire.com/news/home/20140605005295/en/Peter-Thiel-Announces-2014-Class-of-Thiel-Fellows,"Jarred Sumner (18, Lafayette, CA) wants to build tools that lower the barriers to entry for starting new companies. Previously, he built Selfstarter, an open-source DIY crowdfunding site that startups have used to raise $10,000,000.", ,Selfstarter
79,"Martin Stoyanov (17, Novi Pazar, Bulgaria)",4,https://www.businesswire.com/news/home/20140605005295/en/Peter-Thiel-Announces-2014-Class-of-Thiel-Fellows,"Martin Stoyanov (17, Novi Pazar, Bulgaria) is developing software aimed to fundamentally change the way people consume email on the go by enhancing the UI of email inboxes to maximize time and efficiency.", ,
80,"Kaushik Tiwari (19 New Delhi, India)",4,https://www.businesswire.com/news/home/20140605005295/en/Peter-Thiel-Announces-2014-Class-of-Thiel-Fellows,"Kaushik Tiwari (19 New Delhi, India) is working to improve health care. As a Thiel Fellow, Kaushik hopes to create a technology interface that changes the hospital-patient relationship and solves the problems of transparency and efficiency.", ,
81,"Ari Weinstein (19, Philadelphia, PA)",4,https://www.businesswire.com/news/home/20140605005295/en/Peter-Thiel-Announces-2014-Class-of-Thiel-Fellows,"Ari Weinstein (19, Philadelphia, PA) is a software jail-breaker with a passion for making great software. He is working with fellow 2014 Thiel Fellow Conrad Kramer on new types of productivity software, including DeskConnect, which allows users to seamlessly push websites, documents, pictures, and everything else to any device at any time.", ,DeskConnect
82,"Caroline Beckman (20, Sacramento, CA)",5,https://www.businesswire.com/news/home/20150605005092/en/Thiel-Foundation-Announces-2015-Thiel-Fellows-Expands-Fellowship-Program,"Caroline is co-founder of Nomva, a health food company that makes 100% organic fruit and vegetable snacks powered by immune-boosting and digestion-supporting probiotics. Nomva expects to launch in California retail stores and online nationwide this summer. Caroline is also a founding member and VP of Special Projects at Suja Juice, the nation’s leading organic and cold-pressed juice brand.",Health and Wellness Products,Nomva
83,"Cathy Tie (18, Toronto, Ontario, Canada)",5,https://www.businesswire.com/news/home/20150605005092/en/Thiel-Foundation-Announces-2015-Thiel-Fellows-Expands-Fellowship-Program,"Cathy is co-founder and CEO of Ranomics, a biotech startup that is improving the accuracy of genetic testing by determining the consequences of all variants in hereditary disease genes before they are seen in patients. Ranomics aims to revolutionize preventative medicine by determining with unparalleled precision whether a person is prone to a hereditary condition as a result of their individual genetic variations.",Genomic Sequencing,Ranomics
84,"George Matus (17, Salt Lake City, UT)",5,https://www.businesswire.com/news/home/20150605005092/en/Thiel-Foundation-Announces-2015-Thiel-Fellows-Expands-Fellowship-Program,"George is CEO of iDrone, where he designs, builds, and pilots advanced UAV technology. He has been a drone test pilot since age 12, won a global drone competition at age 16, and now at 17, manufactures incredibly capable UAVs for consumer and commercial markets.",Unmanned Aerial Systems,iDrone
85,"Harry Gandhi (22, Waterloo, Ontario, Canada)",5,https://www.businesswire.com/news/home/20150605005092/en/Thiel-Foundation-Announces-2015-Thiel-Fellows-Expands-Fellowship-Program,"Harry is co-founder and CEO of Medella Health, a startup that is creating a smart contact lens platform for continuous and non-invasive monitoring of health vitals, starting with diabetes management. With this technology, Harry aims to make a reactive healthcare system proactive, so that diseases can be prevented in advance instead of treated only after symptoms appear.",Wearable Medical Technology,Medella Health
86,"Jason Marmon (17, Armonk, NY)",5,https://www.businesswire.com/news/home/20150605005092/en/Thiel-Foundation-Announces-2015-Thiel-Fellows-Expands-Fellowship-Program,"Jason is co-founder and CEO of HomeSwipe, an apartment rental app that makes renting an apartment easy by providing reliable listings and the best mobile search experience on the market.",Real Estate Technology,HomeSwipe
87,"Jeremy Cai (19, Chicago, IL)",5,https://www.businesswire.com/news/home/20150605005092/en/Thiel-Foundation-Announces-2015-Thiel-Fellows-Expands-Fellowship-Program,"Jeremy is founder and CEO of OnboardIQ, where he is reinventing the way companies build a modern workforce by developing software to streamline and automate interactions with service providers.","Software, Human Resources",OnboardIQ
88,"Jihad Kawas (17, Beirut, Lebanon)",5,https://www.businesswire.com/news/home/20150605005092/en/Thiel-Foundation-Announces-2015-Thiel-Fellows-Expands-Fellowship-Program,"Jihad is founder and CEO of Saily, a local marketplace that helps neighbors buy, sell, and swap secondhand products quickly and seamlessly from their mobile phones. Saily’s mission is to help build neighborhoods that don’t let anything go to waste.",Sharing Economy,Saily
89,"John Backus (21, Great Falls, VA)",5,https://www.businesswire.com/news/home/20150605005092/en/Thiel-Foundation-Announces-2015-Thiel-Fellows-Expands-Fellowship-Program,"John is co-founder and CEO of BlockScore, where he builds software that helps businesses to verify their customers’ identities, fighting fraud and smoothly complying with regulations.",Software,BlockScore
90,"John Meyer (19, New York, NY)",5,https://www.businesswire.com/news/home/20150605005092/en/Thiel-Foundation-Announces-2015-Thiel-Fellows-Expands-Fellowship-Program,"John dropped out of New York University to start Fresco News, a startup that builds 21st century newsroom tools. Fresco helps news organizations mobilize the smartphone users who are capturing footage wherever news is breaking.","Media, Crowdsourced News",Fresco News
91,"Kieran O’Reilly (19, Elmont, NY) and Rory O’Reilly (20, Elmont, NY)",5,https://www.businesswire.com/news/home/20150605005092/en/Thiel-Foundation-Announces-2015-Thiel-Fellows-Expands-Fellowship-Program,Rory and his brother Kieran dropped out of Harvard a year ago to make online communication easier and more fun. Their company GIFTY (formerly Gifyoutube) helps people to express themselves in pictures.,Animated GIFs,GIFTY
92,"Liam Horne (19, Cambridge, Ontario, Canada)",5,https://www.businesswire.com/news/home/20150605005092/en/Thiel-Foundation-Announces-2015-Thiel-Fellows-Expands-Fellowship-Program,"Liam is CTO of PiinPoint, where he builds software that uses demographic, real estate, and traffic data to help retailers decide where to open new locations.","Software, Retail Real Estate",PiinPoint
93,"Max Lock (18, Bryn Mawr, PA)",5,https://www.businesswire.com/news/home/20150605005092/en/Thiel-Foundation-Announces-2015-Thiel-Fellows-Expands-Fellowship-Program,"Max is founder and President of Fleet, an easy-to-use freight shipping platform that provides reliable shipments, fair pricing, and an unparalleled customer experience for shippers of any size -- particularly the small- to medium-sized companies traditionally underserved by the global freight industry.",Supply Chain Logistics,Fleet
94,"Ocean Pleasant (17, New York, NY)",5,https://www.businesswire.com/news/home/20150605005092/en/Thiel-Foundation-Announces-2015-Thiel-Fellows-Expands-Fellowship-Program,"Ocean founded REAL Magazine, a national youth culture publication dedicated to engaging millennials on questions of social change. She is currently developing REAL me, a software application to connect young people with volunteer opportunities based on their unique interests.","Media, Social Good, Technology",REAL Magazine
95,"Olenka Polak (21, Greenwich, CT)",5,https://www.businesswire.com/news/home/20150605005092/en/Thiel-Foundation-Announces-2015-Thiel-Fellows-Expands-Fellowship-Program,"Olenka is co-founder of myLINGO, a free mobile app that lets you watch Hollywood movies in the theater in another language, using your smartphone and headphones. Advanced audio recognition technology ensures a perfectly synchronized studio-quality dub, eliminating the inconvenience of subtitles.","App-Based Software, Linguistics",myLINGO
96,"Patrick Coughran (21, Monterrey, Mexico)",5,https://www.businesswire.com/news/home/20150605005092/en/Thiel-Foundation-Announces-2015-Thiel-Fellows-Expands-Fellowship-Program,"Patrick is co-founder and CTO of Foxtrot Systems, a logistics software platform that helps distributors execute better last-mile deliveries. Foxtrot uses traffic and weather information, in-house route-optimization algorithms, and machine learning to boost customers’ fleets’ efficiency and delivery success.",Logistics Software,Foxtrot Systems
97,"Simon Tian (20, Montreal, Quebec, Canada)",5,https://www.businesswire.com/news/home/20150605005092/en/Thiel-Foundation-Announces-2015-Thiel-Fellows-Expands-Fellowship-Program,"Simon is the founder and CEO of Neptune, which makes mobile hardware that fits on your wrist and helps you to work seamlessly in any environment.","Wearables, Consumer Electronics",Neptune
98,"Stacey Ferreira (22, Scottsdale, AZ)",5,https://www.businesswire.com/news/home/20150605005092/en/Thiel-Foundation-Announces-2015-Thiel-Fellows-Expands-Fellowship-Program,"Stacey is the co-Author of 2 Billion Under 20: How Millennials Are Breaking Down Age Barriers & Changing the World and CEO of AdMoar, an online marketplace that matches brands with YouTube influencers to facilitate product placement deals. She sold her first company, MySocialCloud, to Reputation.com in 2013.","Technology, Entrepreneurship",AdMoar
99,"Zach Latta (17, El Segundo, CA)",5,https://www.businesswire.com/news/home/20150605005092/en/Thiel-Foundation-Announces-2015-Thiel-Fellows-Expands-Fellowship-Program,"Zach is Executive Director of hackEDU, a national nonprofit that brings coding clubs to high schools nationwide. Students who love music can join band; students who love sports can join an athletic team; but students who want to code have to go home and do it alone. Zach’s goal is to spread the hacker ethos (and programming skills) to every student in the nation.","Education, Nonprofit",hackEDU
100,"Zoli Kahan (19, Austin, TX)",5,https://www.businesswire.com/news/home/20150605005092/en/Thiel-Foundation-Announces-2015-Thiel-Fellows-Expands-Fellowship-Program,"Zoli is CTO of Clay.io, a startup that publishes popular games to mobile web platforms. With Clay.io, developers can easily publish their games to more than 5 million users, and users can access hundreds of games instantly on any platform or device.","Mobile Games, Software",Clay.io
101,"Aditya Agarwalla (New Delhi, India)",6,https://www.businesswire.com/news/home/20160621006214/en/Thiel-Foundation-Announces-2016-Thiel-Fellows,"Aditya is co-founder of Kisan Network, an online marketplace for the $200 billion Indian agricultural ecosystem. Kisan enables farmers to sell their produce directly to institutional buyers using a smartphone, rather than going through the physical marketplace dominated by middlemen.",Agriculture Marketplace,Kisan Network
102,"Alex Rodrigues (Calgary, Alberta / Mountain View, CA)",6,https://www.businesswire.com/news/home/20160621006214/en/Thiel-Foundation-Announces-2016-Thiel-Fellows,"Alex is CEO of Varden Labs, a startup developing self-driving shuttles for private campuses. Varden’s technology has been used to transport thousands of people, more than any other autonomous vehicle company in the US.",Autonomous Vehicles,Varden Labs
103,"Anthony Zhang (Calgary, Alberta, Canada / Mountain View, CA)",6,https://www.businesswire.com/news/home/20160621006214/en/Thiel-Foundation-Announces-2016-Thiel-Fellows,"Anthony is CEO and co-founder of EnvoyNow, a last-mile food delivery service focusing on colleges and universities. Through a workforce of students who live on campus, EnvoyNow makes delivery direct-to-dorm room, direct-to-lecture hall, and direct-to-study nook faster and more accurate than mapping software-based delivery services can achieve.",Local Delivery,EnvoyNow
104,"Boyan Slat (Delft, The Netherlands)",6,https://www.businesswire.com/news/home/20160621006214/en/Thiel-Foundation-Announces-2016-Thiel-Fellows,"Boyan founded and runs The Ocean Cleanup, a non-profit organization that develops technologies to rid the world’s oceans of plastic. By leveraging the power of ocean currents to concentrate and extract plastic waste, The Ocean Cleanup is orders of magnitude more efficient than traditional approaches that rely on boats and nets.",Environmental Technology,The Ocean Cleanup
105,"Brian Truong (Boston, MA)",6,https://www.businesswire.com/news/home/20160621006214/en/Thiel-Foundation-Announces-2016-Thiel-Fellows,"Brian is CEO and co-founder of HelloToken, a company that enables digital publishers to earn up to 10x more for their content by posing simple market research questions to readers instead of serving ads. In turn, HelloToken has created an engine for real-time contextual research across millions of people.",Enterprise Software,HelloToken
106,Christian Owens (London),6,https://www.businesswire.com/news/home/20160621006214/en/Thiel-Foundation-Announces-2016-Thiel-Fellows,"Christian is the founder and CEO of Paddle.com, which builds infrastructure for software companies to help companies deal with complex issues such as payments, taxes, localization, and analytics.",Software,Paddle.com
107,"Cosmo Scharf (Los Angeles, CA)",6,https://www.businesswire.com/news/home/20160621006214/en/Thiel-Foundation-Announces-2016-Thiel-Fellows,"Cosmo co-founded The Virtual Reality Foundation, a non-profit organization that produces the world’s largest event showcasing virtual reality technology, VRLA Expo, as well as The Proto Awards, the premier celebration for recognizing virtual reality content. He is also the co-founder of Visionary VR, a venture-backed startup building software for creating stories using virtual reality.",Virtual Reality,The Virtual Reality Foundation and Visionary VR
108,"Eva Shang (Cambridge, MA)",6,https://www.businesswire.com/news/home/20160621006214/en/Thiel-Foundation-Announces-2016-Thiel-Fellows,"Eva is co-founder of Legalist, a legal analytics and alert platform that helps lawyers keep track of new developments in case law so that they can represent their clients more effectively.",Legal Analytics,Legalist
109,"Grace Xiao & Raul Jordan (Cambridge, MA)",6,https://www.businesswire.com/news/home/20160621006214/en/Thiel-Foundation-Announces-2016-Thiel-Fellows,"Grace and Raul are co-founders of Kynplex, a startup that provides communication tools for scientific laboratories. By connecting the fragmented world of scientific research, Kynplex aims to accelerate the pace of discovery.",Communication Software,Kynplex
110,Henry Hu (Hong Kong / San Francisco),6,https://www.businesswire.com/news/home/20160621006214/en/Thiel-Foundation-Announces-2016-Thiel-Fellows,"A native of Beijing, Henry Hu is CEO and co-founder of Cafe X, which designs, manufactures, and operates automated robotic cafés that serve locally roasted coffee in 10 seconds.","Food Technology, Automation",Cafe X
111,"Hunter Rosenblume & Rohith Varanasi (Detroit, MI)",6,https://www.businesswire.com/news/home/20160621006214/en/Thiel-Foundation-Announces-2016-Thiel-Fellows,"Hunter and Rohith co-founded Lunar Labs, a startup that sells smartphones with no monthly contracts and pay-as-you-go data on a per-app basis starting at just pennies per day. Lunar Labs aims to bring online the 64 million Americans—and then billions more worldwide—that don’t yet own a smartphone.",Telecommunications,Lunar Labs
112,"Ivonna Dumanyan (Kherson, Ukraine / Durham, NC)",6,https://www.businesswire.com/news/home/20160621006214/en/Thiel-Foundation-Announces-2016-Thiel-Fellows,"Ivonna is co-founder and CEO of BioMetrix, a wearable platform for injury prediction and prevention. BioMetrix is pushing the limits of connected technology and insight-driven intelligence with a simple, skin-adhered sensor. The system evaluates athlete movement to identify injury risk factors and inform smarter training.",Wearable Performance Technology; Artificial Intelligence,BioMetrix
113,"James Sun (Toronto, Canada)",6,https://www.businesswire.com/news/home/20160621006214/en/Thiel-Foundation-Announces-2016-Thiel-Fellows,"James is co-founder and CEO of Revlo, a fan engagement platform for the game broadcaster Twitch. Revlo makes it easy for broadcasters to interact with all their fans and monetize them.",Social Gaming,Revlo
114,Jesse Leimgruber (San Francisco),6,https://www.businesswire.com/news/home/20160621006214/en/Thiel-Foundation-Announces-2016-Thiel-Fellows,"Jesse founded and runs NeoReach, a startup developing influencer marketing technology for Fortune 1000 brands and their agencies. NeoReach is currently used by industry giants such as Wal-Mart, Amazon, and NBC.",Marketing Technology,NeoReach
115,"Joey Krug (Knoxville, IL)",6,https://www.businesswire.com/news/home/20160621006214/en/Thiel-Foundation-Announces-2016-Thiel-Fellows,Joey is building the world’s first decentralized prediction market platform. Augur is built on the Ethereum blockchain and allows users to forecast events and be rewarded for predicting them correctly.,Prediction Markets,Augur
116,Joey Levy (New York),6,https://www.businesswire.com/news/home/20160621006214/en/Thiel-Foundation-Announces-2016-Thiel-Fellows,"Joey founded Draftpot, a daily fantasy sports platform, from his dorm room in 2014. He is now working on Quizr, a sports betting application that launches in Europe in late 2016.",Sports Gaming,Quizr
117,Lexi Smith (Boston),6,https://www.businesswire.com/news/home/20160621006214/en/Thiel-Foundation-Announces-2016-Thiel-Fellows,"Lexi is co-founder of Carewell, an intelligent caregiving platform that helps caregivers take care of loved ones with dementia by using wearable devices to learn the smartest ways to provide personalized care.",Health IT,Carewell
118,Luke Sophios (San Diego),6,https://www.businesswire.com/news/home/20160621006214/en/Thiel-Foundation-Announces-2016-Thiel-Fellows,"Luke is founder and CEO of CourseKey, a software company that allows teachers to leverage the devices that their students are already bringing to class – laptops, tablets, and smartphones – to instantly create a more interactive, engaging “smart classroom”.",Education Technology,CourseKey
119,"Matt Arbesfeld (Cambridge, MA)",6,https://www.businesswire.com/news/home/20160621006214/en/Thiel-Foundation-Announces-2016-Thiel-Fellows,"Matt co-founded AppHub, a company that builds tools that let app developers deploy and update software applications easily and instantly. AppHub’s mission is to empower engineers by eliminating tedious and redundant, time-consuming work.",Developer Tools,AppHub
120,"Matthew Salsamendi & James Boehm (Seattle, WA)",6,https://www.businesswire.com/news/home/20160621006214/en/Thiel-Foundation-Announces-2016-Thiel-Fellows,"Matt and James co-founded Beam, an interactive live-streaming platform for gamers. Beam lets viewers of live-streamed video game sessions get involved in the game, influencing gameplay in real time.",Social Gaming,Beam
121,"Megan Grassell (Jackson Hole, WY)",6,https://www.businesswire.com/news/home/20160621006214/en/Thiel-Foundation-Announces-2016-Thiel-Fellows,"Megan founded Yellowberry in high school when she realized that tween girls like her younger sister lacked age-appropriate options when buying their first bras. Three years later, Yellowberry has pioneered a new approach to this market, and has expanded beyond bras to underwear, loungewear, and activewear.",Apparel,Yellowberry
122,Nick Mares (San Francisco),6,https://www.businesswire.com/news/home/20160621006214/en/Thiel-Foundation-Announces-2016-Thiel-Fellows,"Nick co-founded Kettle & Fire with his brother to bring to market the world’s first shelf-stable bone broth made from grass-fed, pasture-raised cattle. Their wholesome, slow-simmered bone broth is available at select Whole Foods, Sprouts Farmers Market locations, and several online retailers.",Food,Kettle & Fire
123,"Pamela Valdes Esteva (Mexico City, Mexico)",6,https://www.businesswire.com/news/home/20160621006214/en/Thiel-Foundation-Announces-2016-Thiel-Fellows,"Pamela is co-founder and CEO of Beek, a social network for millennial book lovers. Beek casts aside sterile 5-star rating systems and lets users discuss and react to books while they are actually reading them.",Social Networking,Beek
124,"Panashe Mahachi (Kitchener, Ontario, Canada / Mountain View, CA)",6,https://www.businesswire.com/news/home/20160621006214/en/Thiel-Foundation-Announces-2016-Thiel-Fellows,"Panashe is co-founder of Lace, a marketplace for cities and other municipalities to find and purchase cutting-edge software. Local governments are increasingly interested in innovation; the Lace platform helps municipal staff to build smarter cities.",Government Technology,Lace Labs
125,Samuel F. Poirier (Montreal),6,https://www.businesswire.com/news/home/20160621006214/en/Thiel-Foundation-Announces-2016-Thiel-Fellows,"Samuel is co-founder and CEO of Retinad, the preeminent analytics platform for virtual reality apps. Retinad helps developers create better VR content with tools such as heat maps and user emotional tracking so that consumers can enjoy a more immersive, personalized virtual reality experience.",Virtual Reality; Gaming,Retinad
126,"Sohail Prasad (Plano, TX / San Francisco)",6,https://www.businesswire.com/news/home/20160621006214/en/Thiel-Foundation-Announces-2016-Thiel-Fellows,"Sohail is the founder and co-CEO of Equidate, a secondary marketplace for shares in private companies. To date, Equidate has helped thousands of employees at private companies sell portions of their stock to accredited investors in the absence of an IPO or corporate sale.",Financial Technology,Equidate
127,"Ashish Pandhi (New York, NY)",7,https://www.businesswire.com/news/home/20170616005607/en/Thiel-Foundation-Announces-2017-Thiel-Fellows,"Ashish founded Bettr, a service that creates a more unified social media management experience.",Software,Bettr
128,"Colton Jang (Berkeley, CA)",7,https://www.businesswire.com/news/home/20170616005607/en/Thiel-Foundation-Announces-2017-Thiel-Fellows,Colton is working on a machine learning company.,Machine Learning,
129,"Daria Evdokimova (Moscow, Russia / San Francisco, CA)",7,https://www.businesswire.com/news/home/20170616005607/en/Thiel-Foundation-Announces-2017-Thiel-Fellows,"Daria founded VoiceOps, an AI platform for analyzing enterprise voice. The platform analyzes sales and support conversations to maximize successful outcomes.",Artificial Intelligence,VoiceOps
130,"Dean Travers (London, England / Boston, MA)",7,https://www.businesswire.com/news/home/20170616005607/en/Thiel-Foundation-Announces-2017-Thiel-Fellows,"Dean is CEO and co-founder of Luminopia, a virtual reality healthcare startup initially focused on treating lazy eye.",Digital Therapeutics,Luminopia
131,"Fred Turner (Halifax, UK / Santa Clara, CA)",7,https://www.businesswire.com/news/home/20170616005607/en/Thiel-Foundation-Announces-2017-Thiel-Fellows,"Fred founded TL Biolabs, a company building a low-cost genotyping platform for farmers to understand an animal’s likely productivity and disease susceptibility at birth, allowing for increased profits and reduced environmental impact.",Genomics,TL Biolabs
132,"Helson Taveras (San Francisco, CA)",7,https://www.businesswire.com/news/home/20170616005607/en/Thiel-Foundation-Announces-2017-Thiel-Fellows,"Helson founded Riley, which provides lead qualification as a service. Riley helps businesses prioritize their sales leads by responding to them within two minutes, 24/7.",Real Estate Technology,Riley
133,"Iddo Gino (Haifa, Israel / San Francisco, CA)",7,https://www.businesswire.com/news/home/20170616005607/en/Thiel-Foundation-Announces-2017-Thiel-Fellows,"Iddo founded RapidAPI, which helps nearly half a million developers find, test, and deploy APIs.",Software,RapidAPI
134,"James Graham (Boston, MA)",7,https://www.businesswire.com/news/home/20170616005607/en/Thiel-Foundation-Announces-2017-Thiel-Fellows,"James founded Caffeine, which uses a new Internet protocol to improve the load-speed of mobile apps by up to three times.",Enterprise Software,Caffeine
135,"Jesper Theil Thomsen (Virum, Denmark / Los Angeles)",7,https://www.businesswire.com/news/home/20170616005607/en/Thiel-Foundation-Announces-2017-Thiel-Fellows,Jesper is CEO of SOUNDBOKS. Its first product is the world’s loudest battery-powered speaker.,Hardware,SOUNDBOKS
136,"Jordan DeCicco (New York, NY)",7,https://www.businesswire.com/news/home/20170616005607/en/Thiel-Foundation-Announces-2017-Thiel-Fellows,"Jordan founded Sunniva, whose first product, SuperCoffee, blends coffee, protein, and superfoods.",Health/Wellness,Sunniva
137,"Jorge Izquierdo (Madrid, Spain)",7,https://www.businesswire.com/news/home/20170616005607/en/Thiel-Foundation-Announces-2017-Thiel-Fellows,"Jorge founded Aragon, a platform for creating and managing effective decentralized organizations using blockchain technology to enhance corporate governance.",Cryptocurrency,Aragon
138,"Laura Vaughan (Ottawa, Canada / Waterloo, Canada)",7,https://www.businesswire.com/news/home/20170616005607/en/Thiel-Foundation-Announces-2017-Thiel-Fellows,"Laura is co-founder of Acorn Cryotech, a biotechnology company that conveniently cryopreserves clients’ stem cells.",Biotechnology,Acorn Cryotech
